year,county,fips,county_fips,POPESTIMATE2020,POPPCT_RUR,prop_state,mean_weekly_total,prop_county,prop_SG,bias
2021,San Juan County,53055,055,16953,80.09,0.00225664944861639,324.40384615384613,0.01913548316839769,0.00113703322136417,-0.1119616227252222
2021,Skagit County,53057,057,127442,34.1,0.0169640723783738,4396.0192307692305,0.03449427371486033,0.01539792630892129,-0.1566146069452512
2021,Skamania County,53059,059,11906,100,0.00158483267476121,432.9423076923077,0.03636337205546008,0.00151704267778377,-0.00677899969774373
2021,Snohomish County,53061,061,811572,11.8,0.10803005405016862,30347.42307692308,0.03739338355305885,0.10631342022933524,-0.1716633820833362
2021,Spokane County,53063,063,513402,14.63,0.06834001888860713,23113.846153846152,0.04502095074395143,0.08093461507292449,1.2594596184317357
2021,Stevens County,53065,065,45233,89.11,0.0060210596655026,1486.173076923077,0.03285594758081659,0.00520018600473827,-0.08208736607643252
2021,Thurston County,53067,067,284698,21.34,0.0378967489366007,11258.76923076923,0.03954635870560816,0.03944364486871963,0.15468959321189324
2021,Wahkiakum County,53069,069,4318,100,5.747780522105594e-4,171.5,0.03971746178786475,6.010629003145066e-4,0.00262848481039472
2021,Walla Walla County,53071,071,60785,20.25,0.00809121906058796,2267.5384615384614,0.03730424383546042,0.00793423439541211,-0.01569846651758522
2021,Whatcom County,53073,073,224538,28.59,0.02988872493915113,6798.2307692307695,0.0302765267760057,0.02378752093666189,-0.6101204002489236
2021,Whitman County,53075,075,49577,31.86,0.00659929863233971,1640.4615384615386,0.03308916510602777,0.00572159240887419,-0.08777062234655231
2021,Yakima County,53077,077,250649,30.43,0.03336441500892184,7716.4807692307695,0.03078600261413677,0.02698771532763971,-0.6376699681282125
2022,Adams County,53001,001,19702,47.29,0.00262257461432432,794,0.04030047710892295,0.00253756815320008,-0.00850064611242418
2022,Asotin County,53003,003,22636,7.26,0.00301312551872121,1106,0.04886022265417918,0.00353469820836183,0.0521572689640612
2022,Benton County,53005,005,200715,12.14,0.02671759535651747,9060,0.04513862939989537,0.02895512275565839,0.22375273991409284
2022,Chelan County,53007,007,76653,33.63,0.01020344187959611,2889,0.03768932722789715,0.00923304079923809,-0.0970401080358021
2022,Clallam County,53009,009,76482,36.09,0.01018067971032144,2672,0.03493632488690149,0.00853952406215444,-0.16411556481670053
2022,Clark County,53011,011,481950,13.48,0.06415337708728094,23607,0.04898225957049487,0.0754463115775748,1.1292934490293858
2022,Columbia County,53013,013,4024,100,5.356430945102573e-4,140,0.03479125248508946,4.474301529571937e-4,-0.00882129415530635
2022,Cowlitz County,53015,015,108399,32.98,0.01442921863862261,5104,0.04708530521499275,0.01631202500495369,0.18828063663310823
2022,Douglas County,53017,017,42520,25.38,0.00565992653543144,1630,0.0383349012229539,0.00520936535228732,-0.04505611831441192
2022,Ferry County,53019,019,7643,100,0.00101737578810683,207,0.02708360591390815,6.615574404438507e-4,-0.03558183476629824
2022,Franklin County,53021,021,93681,11.45,0.01247007473578911,4133,0.04411780403710464,0.01320877730122915,0.0738702565440037
2022,Garfield County,53023,023,2258,100,3.0056712410640187e-4,97,0.04295837023914969,3.1000517740605564e-4,9.438053299653804e-4
2022,Grant County,53025,025,96648,44.87,0.01286501833951971,4159,0.0430324476450625,0.01329187147249263,0.04268531329729153
2022,Grays Harbor County,53027,027,73769,39.11,0.00981954658025029,3565,0.04832653282544158,0.01139348925208854,0.157394267183825
2022,Island County,53029,029,84187,47.78,0.0112063084486916,3074,0.03651395108508439,0.00982428778707438,-0.1382020661617227
2022,Jefferson County,53031,031,31825,53.26,0.00423629261500719,868,0.02727415553809898,0.0027740669483346,-0.14622256666725902
2022,King County,53033,033,2225064,3.29,0.2961829439471598,86283,0.03877776099923417,0.2757543991971825,-2.0428544749977355
2022,Kitsap County,53035,035,268945,17.57,0.03579983400921002,11247,0.04181895926676458,0.03594462093078255,0.01447869215725283
2022,Kittitas County,53037,037,47097,42.79,0.00626918062180655,1873,0.03976898740896448,0.00598597626063445,-0.02832043611721013
2022,Klickitat County,53039,039,22055,79.71,0.00293578738802776,734,0.03328043527544774,0.00234581237336128,-0.05899750146664775
2022,Lewis County,53041,041,79430,60.18,0.01057309418413263,3771,0.04747576482437366,0.01205185076286841,0.14787565787357715
2022,Lincoln County,53043,043,10732,100,0.00142855906816204,453,0.0422102124487514,0.00144775613778291,0.00191970696208715
2022,Mason County,53045,045,65326,69.5,0.00869568111132631,2760,0.04224964026574411,0.00882076587258467,0.01250847612583672
2022,Okanogan County,53047,047,42080,80.61,0.00560135721098201,1185,0.0281606463878327,0.00378717665181624,-0.18141805591657673
2022,Pacific County,53049,049,22121,62.92,0.00294457278669517,966,0.04366891189367569,0.00308726805540463,0.01426952687094573
2022,Pend Oreille County,53051,051,13588,100,0.00180872722867926,570,0.04194877833382396,0.00182167990846857,0.00129526797893061
2022,Pierce County,53053,053,891862,6.78,0.11871762464117969,40447,0.04535118661855757,0.12926576711899723,1.0548142477817546
2022,San Juan County,53055,055,16953,80.09,0.00225664944861639,339,0.01999646080339763,0.0010834201560892,-0.11732292925271948
2022,Skagit County,53057,057,127442,34.1,0.0169640723783738,4797,0.03764065221826399,0.01533087459811184,-0.16331977802619635
2022,Skamania County,53059,059,11906,100,0.00158483267476121,479,0.04023181589114732,0.00153085030904639,-0.0053982365714815
2022,Snohomish County,53061,061,811572,11.8,0.10803005405016862,32577,0.04014061598970886,0.104113800663475,-0.3916253386693622
2022,Spokane County,53063,063,513402,14.63,0.06834001888860713,25396,0.04946611037744301,0.08116382974643495,1.2823810857827809
2022,Stevens County,53065,065,45233,89.11,0.0060210596655026,1685,0.03725156412353812,0.00538514148380622,-0.06359181816963777
2022,Thurston County,53067,067,284698,21.34,0.0378967489366007,12379,0.04348116249499469,0.03956241331040786,0.16656643738071608
2022,Wahkiakum County,53069,069,4318,100,5.747780522105594e-4,190,0.04400185270958778,6.072266361561915e-4,0.00324485839456321
2022,Walla Walla County,53071,071,60785,20.25,0.00809121906058796,2568,0.04224726495023443,0.00820714737710052,0.01159283165125546
2022,Whatcom County,53073,073,224538,28.59,0.02988872493915113,7964,0.03546838397064194,0.02545238384393636,-0.44363410952147664
2022,Whitman County,53075,075,49577,31.86,0.00659929863233971,2234,0.0450612179034633,0.00713970686933121,0.05404082369915009
2022,Yakima County,53077,077,250649,30.43,0.03336441500892184,8896,0.03549186312333183,0.02843099029076568,-0.4933424718156161
