"county_origin","county_destination","n_scaled_visits_county"
"Cowlitz County","San Juan County",3834.78184331526
"Cowlitz County","Skagit County",10099.9802850738
"Cowlitz County","Skamania County",5992.08168655769
"Cowlitz County","Snohomish County",24998.6360355184
"Cowlitz County","Spokane County",25397.7267883115
"Cowlitz County","Stevens County",2828.57309688226
"Cowlitz County","Thurston County",108844.993050901
"Cowlitz County","Wahkiakum County",25270.0014354604
"Cowlitz County","Walla Walla County",2328.57790249166
"Cowlitz County","Whatcom County",15595.4278013553
"Cowlitz County","Whitman County",5692.39568769105
"Cowlitz County","Yakima County",27298.9262062314
"Douglas County","Adams County",9684.33893979823
"Douglas County","Asotin County",204.143845061646
"Douglas County","Benton County",17463.7991643303
"Douglas County","Chelan County",2046195.35418118
"Douglas County","Clallam County",1478.14212860032
"Douglas County","Clark County",1957.43694580828
"Douglas County","Columbia County",433.120683387859
"Douglas County","Cowlitz County",2248.11651439267
"Douglas County","Douglas County",2197903.70589474
"Douglas County","Ferry County",582.178994784258
"Douglas County","Franklin County",5815.39859057165
"Douglas County","Grant County",102393.379299192
"Douglas County","Grays Harbor County",4437.81645672128
"Douglas County","Island County",2930.46864945378
"Douglas County","Jefferson County",786.993775145797
"Douglas County","King County",131542.362279709
"Douglas County","Kitsap County",4902.43299229464
"Douglas County","Kittitas County",31666.5417944641
"Douglas County","Klickitat County",1825.03324330857
"Douglas County","Lewis County",1732.90757816766
"Douglas County","Lincoln County",2601.89144866048
"Douglas County","Mason County",951.178230996485
"Douglas County","Okanogan County",129692.020048889
"Douglas County","Pacific County",585.569303734932
"Douglas County","Pend Oreille County",130.085308056872
"Douglas County","Pierce County",16139.4403453953
"Douglas County","San Juan County",2155.57291855886
"Douglas County","Skagit County",8279.89031115962
"Douglas County","Snohomish County",47058.4204998419
"Douglas County","Spokane County",39255.3312147587
"Douglas County","Stevens County",2126.5036870669
"Douglas County","Thurston County",8776.91803505626
"Douglas County","Walla Walla County",3631.65790132082
"Douglas County","Whatcom County",6961.48961231233
"Douglas County","Whitman County",2447.89001768232
"Douglas County","Yakima County",30710.1935818705
"Ferry County","Adams County",263.402410423453
"Ferry County","Benton County",540.711060627113
"Ferry County","Chelan County",4777.52286536229
"Ferry County","Clallam County",261.169903333907
"Ferry County","Clark County",92.7862029646522
"Ferry County","Cowlitz County",301.087658870703
"Ferry County","Douglas County",1627.9470082473
"Ferry County","Ferry County",198906.259669432
"Ferry County","Grant County",8668.62260532502
"Ferry County","Grays Harbor County",2053.41890032614
"Ferry County","Island County",489.904565516598
"Ferry County","Jefferson County",147.972445464983
"Ferry County","King County",6337.2342535151
"Ferry County","Kitsap County",1237.01909901054
"Ferry County","Kittitas County",1922.85626567901
"Ferry County","Klickitat County",124.238227146814
"Ferry County","Lewis County",198.143625325565
"Ferry County","Lincoln County",856.133690450703
"Ferry County","Mason County",716.704163599313
"Ferry County","Okanogan County",41495.4267679432
"Ferry County","Pend Oreille County",620.710334903174
"Ferry County","Pierce County",3277.54891957882
"Ferry County","Skagit County",359.828734890673
"Ferry County","Snohomish County",3731.25696151264
"Ferry County","Spokane County",53273.9380944267
"Ferry County","Stevens County",138489.278560691
"Ferry County","Thurston County",2962.01831698488
"Ferry County","Walla Walla County",462.232489606849
"Ferry County","Whatcom County",131.298396334479
"Ferry County","Whitman County",122.35409035409
"Ferry County","Yakima County",839.249773734663
"Franklin County","Adams County",141420.31201287
"Franklin County","Asotin County",3223.4368352734
"Franklin County","Benton County",3990833.72703052
"Franklin County","Chelan County",29194.8698164438
"Franklin County","Clallam County",4793.20067938869
"Franklin County","Clark County",13636.1802849802
"Franklin County","Columbia County",7487.63077170945
"Franklin County","Cowlitz County",1469.04959902156
"Franklin County","Douglas County",14756.3292306786
"Franklin County","Ferry County",735.802272727273
"Franklin County","Franklin County",5420382.57406612
"Franklin County","Garfield County",517.265610515185
"Franklin County","Grant County",61979.1816187218
"Franklin County","Grays Harbor County",3960.4326530429
"Franklin County","Island County",604.564423195835
"Franklin County","Jefferson County",155.657004830918
"Franklin County","King County",229118.408445136
"Franklin County","Kitsap County",4356.03370947595
"Franklin County","Kittitas County",36779.1469894733
"Franklin County","Klickitat County",5175.26490794537
"Franklin County","Lewis County",10079.7011703291
"Franklin County","Lincoln County",3168.43165744912
"Franklin County","Mason County",921.136998483752
"Franklin County","Okanogan County",5827.00007971466
"Franklin County","Pacific County",3668.27533584275
"Franklin County","Pend Oreille County",228.257796257796
"Franklin County","Pierce County",23651.5654572622
"Franklin County","San Juan County",657.389175824603
"Franklin County","Skagit County",3917.33510255703
"Franklin County","Skamania County",459.877748065361
"Franklin County","Snohomish County",21475.9768316011
"Franklin County","Spokane County",135987.671251537
"Franklin County","Stevens County",3519.62327421676
"Franklin County","Thurston County",3680.450701681
"Franklin County","Wahkiakum County",108.8
"Franklin County","Walla Walla County",87446.4363056605
"Franklin County","Whatcom County",2984.44111787096
"Franklin County","Whitman County",6636.34404625182
"Franklin County","Yakima County",172463.012418233
"Garfield County","Adams County",384.317855522527
"Garfield County","Asotin County",34190.9853258893
"Garfield County","Benton County",2160.68912625248
"Garfield County","Chelan County",127.287716405606
"Garfield County","Clark County",856.791176376244
"Garfield County","Columbia County",5188.31949357025
"Garfield County","Franklin County",971.57636114536
"Garfield County","Garfield County",45157.6032106469
"Garfield County","King County",1724.33130109779
"Garfield County","Kittitas County",243.324873096447
"Garfield County","Mason County",122.678915939366
"Garfield County","Pierce County",98.9589939857846
"Garfield County","Spokane County",12236.4876527155
"Garfield County","Stevens County",133.595325054785
"Garfield County","Walla Walla County",4373.29503839707
"Garfield County","Whatcom County",143.593485750078
"Garfield County","Whitman County",3692.78789438303
"Garfield County","Yakima County",711.911030446678
"Grant County","Adams County",203242.391983093
"Grant County","Asotin County",2844.84383043996
"Grant County","Benton County",263140.316652776
"Grant County","Chelan County",385174.491488428
"Grant County","Clallam County",8783.5906008135
"Grant County","Clark County",8587.4314847898
"Grant County","Columbia County",901.982980298885
"Grant County","Cowlitz County",1514.25559463695
"Grant County","Douglas County",317716.114427013
"Grant County","Ferry County",5027.03765198959
"Grant County","Franklin County",105023.397033667
"Grant County","Garfield County",402.780673836699
"Grant County","Grant County",8595832.93706085
"Grant County","Grays Harbor County",7492.40260324929
"Grant County","Island County",4167.53770180451
"Grant County","Jefferson County",1160.27100656539
"Grant County","King County",286787.77123325
"Grant County","Kitsap County",8813.05764344442
"Grant County","Kittitas County",110570.751651484
"Grant County","Klickitat County",4618.03445244641
"Grant County","Lewis County",6062.0765402701
"Grant County","Lincoln County",23304.7596791424
"Grant County","Mason County",3459.78021856207
"Grant County","Okanogan County",66615.5627648807
"Grant County","Pacific County",3697.01326418038
"Grant County","Pend Oreille County",1269.74912996152
"Grant County","Pierce County",56769.1918555916
"Grant County","San Juan County",1145.79938824291
"Grant County","Skagit County",15336.6251176823
"Grant County","Skamania County",230.429644614668
"Grant County","Snohomish County",58193.2370417694
"Grant County","Spokane County",364414.821114466
"Grant County","Stevens County",6211.72020682577
"Grant County","Thurston County",9254.10377753122
"Grant County","Wahkiakum County",107.497005988024
"Grant County","Walla Walla County",15350.2576617072
"Grant County","Whatcom County",9196.42667256336
"Grant County","Whitman County",7287.37869927324
"Grant County","Yakima County",178812.361119313
"Grays Harbor County","Adams County",2709.57914852531
"Grays Harbor County","Asotin County",1617.83195553156
"Grays Harbor County","Benton County",12031.8377422935
"Grays Harbor County","Chelan County",18953.346468441
"Grays Harbor County","Clallam County",33581.9531871251
"Grays Harbor County","Clark County",26134.2310888338
"Grays Harbor County","Cowlitz County",36361.1245743158
"Grays Harbor County","Douglas County",3592.03470549058
"Grays Harbor County","Ferry County",763.024595601943
"Grays Harbor County","Franklin County",3834.44197047787
"Grays Harbor County","Grant County",12474.2281592019
"Grays Harbor County","Grays Harbor County",6106597.06366373
"Grays Harbor County","Island County",1970.26852176249
"Grays Harbor County","Jefferson County",11784.771231577
"Grays Harbor County","King County",330232.869215402
"Grays Harbor County","Kitsap County",30499.9831676698
"Grays Harbor County","Kittitas County",23113.0626730971
"Grays Harbor County","Klickitat County",130.188679245283
"Grays Harbor County","Lewis County",187589.878163113
"Grays Harbor County","Lincoln County",976.115349445159
"Grays Harbor County","Mason County",212350.742724421
"Grays Harbor County","Okanogan County",6909.15024376961
"Grays Harbor County","Pacific County",88076.5432499943
"Grays Harbor County","Pend Oreille County",665.141377179543
"Grays Harbor County","Pierce County",248654.275329605
"Grays Harbor County","San Juan County",660.295727302076
"Grays Harbor County","Skagit County",6792.12950190953
"Grays Harbor County","Skamania County",577.200599077264
"Grays Harbor County","Snohomish County",46553.4561836071
"Grays Harbor County","Spokane County",23269.4557711919
"Grays Harbor County","Stevens County",4030.68037162134
"Grays Harbor County","Thurston County",1842128.21571904
"Grays Harbor County","Wahkiakum County",311.959250192381
"Grays Harbor County","Walla Walla County",1948.76521880601
"Grays Harbor County","Whatcom County",20765.0032322576
"Grays Harbor County","Whitman County",2573.36979288999
"Grays Harbor County","Yakima County",20342.5837365881
"Island County","Adams County",1065.6250714753
"Island County","Asotin County",480.573249938198
"Island County","Benton County",5002.47231952631
"Island County","Chelan County",22153.7715793807
"Island County","Clallam County",13842.4295855114
"Island County","Clark County",7418.99122940438
"Island County","Cowlitz County",3815.87327332611
"Island County","Douglas County",3875.46296449728
"Island County","Ferry County",191.874213836478
"Island County","Franklin County",917.431960269823
"Island County","Grant County",15228.2035742479
"Island County","Grays Harbor County",10424.5446725993
"Island County","Island County",5203467.40025732
"Island County","Jefferson County",34297.8659348002
"Island County","King County",392466.592217711
"Island County","Kitsap County",17161.7734931767
"Island County","Kittitas County",15775.7566020787
"Island County","Klickitat County",525.461220186912
"Island County","Lewis County",5726.25471905852
"Island County","Lincoln County",346.002433090024
"Island County","Mason County",3526.46712935487
"Island County","Okanogan County",7006.09102368333
"Island County","Pacific County",2324.72441211427
"Island County","Pend Oreille County",106.387596899225
"Island County","Pierce County",28160.1687924714
"Island County","San Juan County",15457.3504752801
"Island County","Skagit County",1211003.40059869
"Island County","Skamania County",115.904076738609
"Island County","Snohomish County",1567415.5761659
"Island County","Spokane County",20348.3498188455
"Island County","Stevens County",3401.28927592974
"Island County","Thurston County",15921.3570565965
"Island County","Walla Walla County",1218.22658451471
"Island County","Whatcom County",176567.032094709
"Island County","Whitman County",1153.78391635047
"Island County","Yakima County",8843.43454298219
"Jefferson County","Adams County",120.561085972851
"Jefferson County","Asotin County",210.604268655103
"Jefferson County","Benton County",1037.52836799584
"Jefferson County","Chelan County",1406.17672844261
"Jefferson County","Clallam County",242621.376569926
"Jefferson County","Clark County",2665.85458766911
"Jefferson County","Cowlitz County",1706.20084603219
"Jefferson County","Douglas County",357.278796626079
"Jefferson County","Ferry County",759.857255311132
"Jefferson County","Franklin County",106.185670476721
"Jefferson County","Grant County",1406.56960828969
"Jefferson County","Grays Harbor County",9632.06535105986
"Jefferson County","Island County",11520.361155122
"Jefferson County","Jefferson County",1169629.21217827
"Jefferson County","King County",103797.46521983
"Jefferson County","Kitsap County",462721.74132332
"Jefferson County","Kittitas County",3256.49870673831
"Jefferson County","Lewis County",3624.59545850053
"Jefferson County","Mason County",17361.0660711595
"Jefferson County","Okanogan County",1229.36289237229
"Jefferson County","Pacific County",901.404368114377
"Jefferson County","Pierce County",34730.5134551343
"Jefferson County","San Juan County",769.204502661927
"Jefferson County","Skagit County",4835.87785812546
"Jefferson County","Skamania County",118.171149144254
"Jefferson County","Snohomish County",29514.500759719
"Jefferson County","Spokane County",1829.54653377738
"Jefferson County","Stevens County",267.406540977299
"Jefferson County","Thurston County",15395.870825914
"Jefferson County","Walla Walla County",921.054748872118
"Jefferson County","Whatcom County",5133.74053375241
"Jefferson County","Whitman County",268.142767556005
"Jefferson County","Yakima County",4021.14854405202
"King County","Adams County",50074.1943539509
"King County","Asotin County",8737.27178471905
"King County","Benton County",219195.536746939
"King County","Chelan County",676470.601907526
"King County","Clallam County",252092.93041718
"King County","Clark County",474273.649113535
"King County","Columbia County",2045.49843164611
"King County","Cowlitz County",147588.600310058
"King County","Douglas County",64844.1513581912
"King County","Ferry County",4468.97899528284
"King County","Franklin County",69995.9333876131
"King County","Garfield County",604.517310397057
"King County","Grant County",253815.584415143
"King County","Grays Harbor County",342931.725262923
"King County","Island County",282242.762999816
"King County","Jefferson County",113986.334584391
"King County","King County",172836032.097694
"King County","Kitsap County",695096.314542396
"King County","Kittitas County",771071.407760006
"King County","Klickitat County",15441.3111822438
"King County","Lewis County",272548.949100305
"King County","Lincoln County",10856.7801018233
"King County","Mason County",146206.21726546
"King County","Okanogan County",85253.0384937041
"King County","Pacific County",80528.6376393228
"King County","Pend Oreille County",1894.59296574352
"King County","Pierce County",7339073.12139446
"King County","San Juan County",162236.499037847
"King County","Skagit County",532404.664157918
"King County","Skamania County",6100.9920770239
"King County","Snohomish County",7988130.62210619
"King County","Spokane County",484156.734817835
"King County","Stevens County",16858.780559707
"King County","Thurston County",674861.560335127
"King County","Wahkiakum County",2809.16202513374
"King County","Walla Walla County",84126.0803076687
"King County","Whatcom County",536305.049571858
"King County","Whitman County",111824.492503982
"King County","Yakima County",339426.691542148
"Kitsap County","Adams County",7054.77881131861
"Kitsap County","Asotin County",921.841100385744
"Kitsap County","Benton County",32266.7432378933
"Kitsap County","Chelan County",61738.7494832052
"Kitsap County","Clallam County",185107.579288104
"Kitsap County","Clark County",48133.1615592203
"Kitsap County","Columbia County",122.615384615385
"Kitsap County","Cowlitz County",25684.9412762286
"Kitsap County","Douglas County",5979.02110896531
"Kitsap County","Ferry County",734.39619047619
"Kitsap County","Franklin County",5466.24492753007
"Kitsap County","Garfield County",265.730837789661
"Kitsap County","Grant County",26755.3703193165
"Kitsap County","Grays Harbor County",89484.5820821405
"Kitsap County","Island County",31561.8644910127
"Kitsap County","Jefferson County",203577.987033578
"Kitsap County","King County",1769139.47067241
"Kitsap County","Kitsap County",24230744.8678336
