n_mutations,group_1,group_2,n_pairs,n_pairs_1_x,n_pairs_x_2,n_pairs_x_x,RR,type,age_decade,i_period
0,Completed primary series,Completed primary series,334,833,833,2310,1.1119069476530108,Only pairs in different postal_codes,40-49y,2
0,Completed primary series,No valid vaccination record,499,833,1477,2310,0.9368866029824252,Only pairs in different postal_codes,40-49y,2
0,No valid vaccination record,Completed primary series,499,1477,833,2310,0.9368866029824252,Only pairs in different postal_codes,40-49y,2
0,No valid vaccination record,No valid vaccination record,978,1477,1477,2310,1.0355947594554096,Only pairs in different postal_codes,40-49y,2
0,Completed primary series,Completed primary series,21998,37307,37307,63140,0.9979461820356489,All pairs,40-49y,3
0,Completed primary series,Completed primary series + booster,6991,37307,11794,63140,1.0032113317919866,All pairs,40-49y,3
0,Completed primary series,No valid vaccination record,8318,37307,14039,63140,1.0027599786054102,All pairs,40-49y,3
0,Completed primary series + booster,Completed primary series,6991,11794,37307,63140,1.0032113317919866,All pairs,40-49y,3
0,Completed primary series + booster,Completed primary series + booster,2198,11794,11794,63140,0.9977230800783411,All pairs,40-49y,3
0,Completed primary series + booster,No valid vaccination record,2605,11794,14039,63140,0.9933790753182137,All pairs,40-49y,3
0,No valid vaccination record,Completed primary series,8318,14039,37307,63140,1.0027599786054102,All pairs,40-49y,3
0,No valid vaccination record,Completed primary series + booster,2605,14039,11794,63140,0.9933790753182137,All pairs,40-49y,3
0,No valid vaccination record,No valid vaccination record,3116,14039,14039,63140,0.9982278412896181,All pairs,40-49y,3
0,Completed primary series,Completed primary series,21728,36889,36889,62454,0.9972091316241418,Only pairs in different postal_codes,40-49y,3
0,Completed primary series,Completed primary series + booster,6929,36889,11673,62454,1.0049661929727725,Only pairs in different postal_codes,40-49y,3
0,Completed primary series,No valid vaccination record,8232,36889,13892,62454,1.0032379767453115,Only pairs in different postal_codes,40-49y,3
0,Completed primary series + booster,Completed primary series,6929,11673,36889,62454,1.0049661929727725,Only pairs in different postal_codes,40-49y,3
0,Completed primary series + booster,Completed primary series + booster,2158,11673,11673,62454,0.9891148638046318,Only pairs in different postal_codes,40-49y,3
