period,i_imput,n_pairs,n_west_before_east,prop_west_before_east,lower_prop,upper_prop
Wave 5,497,12558,6806,0.5419652810957158,0.5331998044204012,0.5507049742336897
Wave 6,497,485626,311739,0.6419322688653408,0.6405817032434029,0.6432805873301566
Wave 7,497,31610,16872,0.5337551407782347,0.5282361618365901,0.539265892821837
Wave 4,498,10487,7337,0.6996281109945647,0.6907344973905021,0.7083747336206374
Wave 5,498,12579,6873,0.5463868352015263,0.5376342145599176,0.5551110032669417
Wave 6,498,485420,313602,0.6460426022825594,0.6446951942196174,0.6473876971249228
Wave 7,498,31630,16449,0.5200442617767942,0.5145205636858,0.5255630777375585
Wave 4,499,10483,7279,0.6943623008680722,0.6854257234174095,0.7031557137377766
Wave 5,499,12574,6893,0.5481946874502942,0.5394427626279684,0.5569170389785176
Wave 6,499,485451,311571,0.6418176087802888,0.6404667048261468,0.6431662665830731
Wave 7,499,31640,16790,0.5306573957016435,0.5251392173298546,0.5361681092690275
Wave 4,500,10482,7302,0.6966227819118489,0.687703311366757,0.7053974073612855
Wave 5,500,12561,6884,0.5480455377756548,0.53928885207127,0.5567727111390081
Wave 6,500,485355,311221,0.6412234343933821,0.639871908042824,0.6425727235613472
Wave 7,500,31575,16478,0.5218685669041964,0.5163406661702225,0.5273911318739396
Wave 4,501,10493,7313,0.6969408176879824,0.6880285718053928,0.7057081364009591
Wave 5,501,12557,6851,0.545592100023891,0.5368307311580994,0.5543254547121542
Wave 6,501,485216,312111,0.6432413605487041,0.6418913090725107,0.6445891422229965
Wave 7,501,31654,16636,0.5255575914576357,0.520038095633448,0.5310708670007928
Wave 4,502,10477,7310,0.6977188126372053,0.6888057822350755,0.7064861200597312
Wave 5,502,12578,6854,0.5449197010653523,0.5361648306496083,0.5536470166489055
Wave 6,502,485280,310982,0.6408300362677217,0.6394780830380795,0.6421797582022521
Wave 7,502,31643,16423,0.5190089435262143,0.5134860641053328,0.5245271948924234
Wave 4,503,10473,7250,0.6922562780483147,0.6832992573359359,0.7010715513736737
Wave 5,503,12562,6766,0.5386085018309187,0.529840716706047,0.547352573455945
Wave 6,503,485191,310310,0.6395625640211793,0.6382094548767461,0.6409134615477273
Wave 7,503,31681,16792,0.5300337741864208,0.5245188382210365,0.5355414066717755
Wave 4,504,10491,7265,0.6924983319035364,0.6835509386397175,0.7013040432256791
Wave 5,504,12573,6865,0.5460112940427901,0.537256079342761,0.5547382730290585
Wave 6,504,485364,307834,0.6342332764687946,0.6328761830013506,0.6355882435340053
Wave 7,504,31538,16399,0.519975902086372,0.5144441057039003,0.5255028187770897
Wave 4,505,10476,7298,0.6966399389079801,0.6877180148535729,0.7054169220566545
Wave 5,505,12580,6816,0.5418124006359301,0.5330544580321631,0.5505446986498198
Wave 6,505,485181,310432,0.6398271985094223,0.6384742899704897,0.6411778911909061
Wave 7,505,31575,16856,0.533840063341251,0.528318068836101,0.5393538010962847
Wave 4,506,10482,7271,0.693665331043694,0.6847229645392083,0.7024650331930341
Wave 5,506,12535,6870,0.548065416832868,0.5392996278751645,0.5568016198777651
Wave 6,506,485053,309963,0.6390291370221398,0.6376754038870066,0.6403806663659863
Wave 7,506,31553,16696,0.5291414445536082,0.5236148210562407,0.5346609527805798
Wave 4,507,10501,7292,0.6944100561851252,0.6854816089848055,0.7031955496261041
Wave 5,507,12564,6869,0.5467207895574657,0.5379633582552817,0.5554495291545439
Wave 6,507,485302,311510,0.6418889681064575,0.6405379152917987,0.6432377729492413
Wave 7,507,31619,16392,0.5184224675037161,0.5128973151749006,0.523943131157167
Wave 4,508,10487,7313,0.697339563268809,0.6884278599437891,0.7061059624195144
Wave 5,508,12586,6908,0.5488638169394565,0.5401170244509963,0.557580654167839
Wave 6,508,485345,310142,0.6390134852527584,0.6376601474217872,0.6403646208667801
Wave 7,508,31593,16650,0.52701547811224,0.5214913071177797,0.5325330612861511
Wave 4,509,10471,7280,0.6952535574443701,0.6863186823348258,0.7040444456461414
Wave 5,509,12577,6893,0.5480639262145186,0.5393128706589503,0.5567854957661371
Wave 6,509,485240,309202,0.6372145742313082,0.63585964929414,0.6385673249806663
Wave 7,509,31639,16632,0.5256803312367647,0.5201595772823675,0.5311948320700696
Wave 4,510,10468,7267,0.6942109285441345,0.685266700544969,0.7030118981052179
Wave 5,510,12574,6841,0.5440591697152856,0.5353018197568746,0.552789484116593
Wave 6,510,485253,310883,0.6406616754558963,0.6393095469286169,0.642011575231679
Wave 7,510,31636,17098,0.540460235175117,0.5349482138289582,0.5459624035253962
Wave 4,511,10494,7295,0.6951591385553649,0.68623345792822,0.7039412181295894
Wave 5,511,12550,6853,0.5460557768924302,0.5372925544067326,0.5547906844667292
Wave 6,511,485362,312096,0.6430169646573073,0.6416669297473697,0.6443647340033185
Wave 7,511,31604,16403,0.5190165801797241,0.5134902856382926,0.5245382390863017
Wave 4,512,10477,7252,0.6921828767777035,0.6832270303560132,0.7009970842024873
Wave 5,512,12578,6871,0.5462712672920973,0.5375181442687669,0.5549960063677206
Wave 6,512,485282,309047,0.6368400229145116,0.6354848593749125,0.6381930183892219
Wave 7,512,31581,16855,0.5337069757132453,0.5281854244995932,0.5392203042142647
Wave 4,513,10497,7306,0.6960083833476232,0.6870905834727888,0.704781997988939
Wave 5,513,12570,6861,0.5458233890214798,0.5370668783556848,0.5545517725649659
Wave 6,513,485209,308796,0.6364185330445231,0.6350629338552006,0.637771970522061
