region_first,region_last,n_clusters,n_tot_clusters,i_wave,prop,lower_prop,upper_prop,lower_prop_bootstrap,upper_prop_bootstrap
North Puget Sound,Northeast,63,120,2,0.525,0.4321999082144337,0.6161779366838841,0.43333333333333335,0.6166666666666667
North Puget Sound,Northwest,119,226,2,0.5265486725663717,0.4593644882092541,0.5928155057527753,0.46017699115044247,0.5929203539823009
North Puget Sound,Peninsula/Coastal,63,109,2,0.5779816513761468,0.4796073464485156,0.6707884248118181,0.48623853211009177,0.6697247706422018
North Puget Sound,South Central,216,445,2,0.4853932584269663,0.4381706171931538,0.5328719503461808,0.4404494382022472,0.5325842696629214
North Puget Sound,South Puget Sound,286,618,2,0.4627831715210356,0.4230234203352648,0.5030121746321369,0.42394822006472493,0.5016181229773463
North Puget Sound,Southeast,15,26,2,0.5769230769230769,0.371915073599776,0.7602562869900447,0.38461538461538464,0.7692307692307693
North Puget Sound,Southwest,38,44,2,0.8636363636363636,0.7195376171894827,0.9433218415014346,0.75,0.9545454545454546
Northeast,North Central,18,43,2,0.4186046511627907,0.27371201422569247,0.5778555651608068,0.27906976744186046,0.5581395348837209
Northeast,North Puget Sound,57,120,2,0.475,0.383822063316116,0.5678000917855662,0.38333333333333336,0.5666666666666667
Northeast,Northwest,5,22,2,0.22727272727272727,0.08686125028115209,0.45820152433608274,0.045454545454545456,0.4090909090909091
Northeast,South Central,31,81,2,0.38271604938271603,0.2788826312128025,0.49777469850505496,0.2839506172839506,0.49382716049382713
Northeast,South Puget Sound,25,68,2,0.36764705882352944,0.2564989312440614,0.49383122752862824,0.25,0.4852941176470588
Northeast,Southeast,29,52,2,0.5576923076923077,0.4141939873694486,0.6927076229024495,0.4230769230769231,0.6923076923076923
Northeast,Southwest,2,2,2,1,0.19786745576231118,1,1,1
Northwest,North Central,6,17,2,0.35294117647058826,0.15259235901239418,0.6137959427321497,0.11764705882352941,0.5882352941176471
Northwest,North Puget Sound,107,226,2,0.47345132743362833,0.40718449424722475,0.540635511790746,0.40707964601769914,0.5398230088495575
Northwest,Northeast,17,22,2,0.7727272727272727,0.5417984756639173,0.913138749718848,0.5909090909090909,0.9545454545454546
Northwest,Peninsula/Coastal,28,39,2,0.717948717948718,0.5489596110547201,0.8445005717282557,0.5641025641025641,0.8461538461538461
Northwest,South Central,17,36,2,0.4722222222222222,0.30758190482734965,0.6426528720862825,0.3055555555555556,0.6388888888888888
Northwest,South Puget Sound,24,60,2,0.4,0.2782716823151675,0.5345461281081116,0.2833333333333333,0.5166666666666667
Northwest,Southwest,8,23,2,0.34782608695652173,0.1718958436076393,0.5717884510455548,0.17391304347826086,0.5652173913043478
Peninsula/Coastal,North Central,2,2,2,1,0.19786745576231118,1,1,1
Peninsula/Coastal,North Puget Sound,46,109,2,0.42201834862385323,0.32921157518818184,0.5203926535514845,0.3302752293577982,0.5137614678899083
Peninsula/Coastal,Northeast,4,4,2,1,0.3957730344827787,1,1,1
