age_decade,period,is_west,delay_sequence_collection_symptom_onset,n_seq,prop
20-29y,Wave 6,TRUE,-23,1,0.0017605633802816902
20-29y,Wave 6,TRUE,-5,1,0.0017605633802816902
20-29y,Wave 6,TRUE,-2,2,0.0035211267605633804
20-29y,Wave 6,TRUE,-1,9,0.01584507042253521
20-29y,Wave 6,TRUE,0,43,0.07570422535211267
20-29y,Wave 6,TRUE,1,133,0.23415492957746478
20-29y,Wave 6,TRUE,2,153,0.26936619718309857
20-29y,Wave 6,TRUE,3,89,0.15669014084507044
20-29y,Wave 6,TRUE,4,53,0.09330985915492958
20-29y,Wave 6,TRUE,5,30,0.0528169014084507
20-29y,Wave 6,TRUE,6,13,0.022887323943661973
20-29y,Wave 6,TRUE,7,14,0.02464788732394366
20-29y,Wave 6,TRUE,8,7,0.01232394366197183
20-29y,Wave 6,TRUE,9,6,0.01056338028169014
20-29y,Wave 6,TRUE,10,10,0.017605633802816902
20-29y,Wave 6,TRUE,11,1,0.0017605633802816902
20-29y,Wave 6,TRUE,15,1,0.0017605633802816902
20-29y,Wave 6,TRUE,16,1,0.0017605633802816902
20-29y,Wave 6,TRUE,17,1,0.0017605633802816902
20-29y,Wave 7,FALSE,0,6,0.10344827586206896
20-29y,Wave 7,FALSE,1,17,0.29310344827586204
20-29y,Wave 7,FALSE,2,21,0.3620689655172414
20-29y,Wave 7,FALSE,3,9,0.15517241379310345
20-29y,Wave 7,FALSE,4,3,0.05172413793103448
20-29y,Wave 7,FALSE,7,1,0.017241379310344827
20-29y,Wave 7,FALSE,8,1,0.017241379310344827
20-29y,Wave 7,TRUE,-11,1,0.004694835680751174
20-29y,Wave 7,TRUE,-1,3,0.014084507042253521
20-29y,Wave 7,TRUE,0,31,0.14553990610328638
20-29y,Wave 7,TRUE,1,62,0.29107981220657275
20-29y,Wave 7,TRUE,2,45,0.2112676056338028
20-29y,Wave 7,TRUE,3,31,0.14553990610328638
20-29y,Wave 7,TRUE,4,11,0.051643192488262914
20-29y,Wave 7,TRUE,5,12,0.056338028169014086
20-29y,Wave 7,TRUE,6,4,0.018779342723004695
20-29y,Wave 7,TRUE,7,5,0.023474178403755867
20-29y,Wave 7,TRUE,8,4,0.018779342723004695
20-29y,Wave 7,TRUE,9,1,0.004694835680751174
20-29y,Wave 7,TRUE,10,1,0.004694835680751174
20-29y,Wave 7,TRUE,14,1,0.004694835680751174
20-29y,Wave 7,TRUE,28,1,0.004694835680751174
30-39y,Wave 4,FALSE,-3,1,0.0026455026455026454
30-39y,Wave 4,FALSE,-1,2,0.005291005291005291
30-39y,Wave 4,FALSE,0,36,0.09523809523809523
30-39y,Wave 4,FALSE,1,98,0.25925925925925924
30-39y,Wave 4,FALSE,2,79,0.20899470899470898
30-39y,Wave 4,FALSE,3,50,0.13227513227513227
30-39y,Wave 4,FALSE,4,32,0.08465608465608465
30-39y,Wave 4,FALSE,5,21,0.05555555555555555
30-39y,Wave 4,FALSE,6,16,0.042328042328042326
30-39y,Wave 4,FALSE,7,14,0.037037037037037035
30-39y,Wave 4,FALSE,8,10,0.026455026455026454
30-39y,Wave 4,FALSE,9,2,0.005291005291005291
30-39y,Wave 4,FALSE,10,7,0.018518518518518517
30-39y,Wave 4,FALSE,11,7,0.018518518518518517
30-39y,Wave 4,FALSE,12,1,0.0026455026455026454
30-39y,Wave 4,FALSE,13,1,0.0026455026455026454
30-39y,Wave 4,FALSE,14,1,0.0026455026455026454
30-39y,Wave 4,TRUE,-5,1,5.841121495327102e-4
30-39y,Wave 4,TRUE,-4,3,0.0017523364485981308
30-39y,Wave 4,TRUE,-3,2,0.0011682242990654205
30-39y,Wave 4,TRUE,-2,14,0.008177570093457943
30-39y,Wave 4,TRUE,-1,42,0.02453271028037383
30-39y,Wave 4,TRUE,0,208,0.12149532710280374
30-39y,Wave 4,TRUE,1,377,0.22021028037383178
30-39y,Wave 4,TRUE,2,344,0.20093457943925233
30-39y,Wave 4,TRUE,3,253,0.1477803738317757
30-39y,Wave 4,TRUE,4,171,0.09988317757009346
30-39y,Wave 4,TRUE,5,96,0.056074766355140186
30-39y,Wave 4,TRUE,6,53,0.030957943925233645
30-39y,Wave 4,TRUE,7,42,0.02453271028037383
30-39y,Wave 4,TRUE,8,25,0.014602803738317757
30-39y,Wave 4,TRUE,9,18,0.010514018691588784
30-39y,Wave 4,TRUE,10,14,0.008177570093457943
30-39y,Wave 4,TRUE,11,12,0.007009345794392523
30-39y,Wave 4,TRUE,12,8,0.004672897196261682
30-39y,Wave 4,TRUE,13,12,0.007009345794392523
30-39y,Wave 4,TRUE,14,5,0.0029205607476635513
30-39y,Wave 4,TRUE,15,3,0.0017523364485981308
30-39y,Wave 4,TRUE,16,3,0.0017523364485981308
30-39y,Wave 4,TRUE,17,1,5.841121495327102e-4
30-39y,Wave 4,TRUE,18,2,0.0011682242990654205
30-39y,Wave 4,TRUE,19,1,5.841121495327102e-4
30-39y,Wave 4,TRUE,20,2,0.0011682242990654205
30-39y,Wave 5,FALSE,-8,1,0.0012106537530266344
