n_clusters,n_singletons,n_non_singletons,n_seq_non_singletons,i_subsample_step,curr_subsample_step,n_new_clusters,n_new_samples,n_new_clusters_per_sample,n_new_seq_non_singleton,n_new_seq_non_singleton_per_sample,n_new_clusters_non_singleton,n_new_clusters_non_singleton_per_sample,i_subsample
62337,48459,13878,46541,104,95000,500,1000,0.5,667,0.667,167,0.167,2
62844,48799,14045,47201,105,96000,507,1000,0.507,660,0.66,167,0.167,2
63340,49127,14213,47873,106,97000,496,1000,0.496,672,0.672,168,0.168,2
63836,49441,14395,48559,107,98000,496,1000,0.496,686,0.686,182,0.182,2
64327,49771,14556,49229,108,99000,491,1000,0.491,670,0.67,161,0.161,2
64828,50087,14741,49913,109,100000,501,1000,0.501,684,0.684,185,0.185,2
65302,50375,14927,50625,110,101000,474,1000,0.474,712,0.712,186,0.186,2
65824,50727,15097,51273,111,102000,522,1000,0.522,648,0.648,170,0.17,2
66298,51014,15284,51986,112,103000,474,1000,0.474,713,0.713,187,0.187,2
66802,51357,15445,52643,113,104000,504,1000,0.504,657,0.657,161,0.161,2
67293,51653,15640,53347,114,105000,491,1000,0.491,704,0.704,195,0.195,2
67806,52014,15792,53986,115,106000,513,1000,0.513,639,0.639,152,0.152,2
68312,52351,15961,54649,116,107000,506,1000,0.506,663,0.663,169,0.169,2
68779,52644,16135,55356,117,108000,467,1000,0.467,707,0.707,174,0.174,2
69272,52959,16313,56041,118,109000,493,1000,0.493,685,0.685,178,0.178,2
69770,53284,16486,56716,119,110000,498,1000,0.498,675,0.675,173,0.173,2
70243,53579,16664,57421,120,111000,473,1000,0.473,705,0.705,178,0.178,2
70744,53906,16838,58094,121,112000,501,1000,0.501,673,0.673,174,0.174,2
71223,54203,17020,58797,122,113000,479,1000,0.479,703,0.703,182,0.182,2
71716,54535,17181,59465,123,114000,493,1000,0.493,668,0.668,161,0.161,2
71869,54638,17231,59660,124,114298,153,298,0.5134228187919463,195,0.6543624161073825,50,0.16778523489932887,2
100,100,0,0,1,100,NA,NA,NA,NA,NA,NA,NA,3
199,198,1,2,2,200,99,100,0.99,2,0.02,1,0.01,3
299,298,1,2,3,300,100,100,1,0,0,0,0,3
397,394,3,6,4,400,98,100,0.98,4,0.04,2,0.02,3
495,491,4,9,5,500,98,100,0.98,3,0.03,1,0.01,3
594,589,5,11,6,600,99,100,0.99,2,0.02,1,0.01,3
691,683,8,17,7,700,97,100,0.97,6,0.06,3,0.03,3
787,775,12,25,8,800,96,100,0.96,8,0.08,4,0.04,3
885,871,14,29,9,900,98,100,0.98,4,0.04,2,0.02,3
983,967,16,33,10,1000,98,100,0.98,4,0.04,2,0.02,3
1943,1899,44,101,11,2000,960,1000,0.96,68,0.068,28,0.028,3
2883,2796,87,204,12,3000,940,1000,0.94,103,0.103,43,0.043,3
3791,3639,152,361,13,4000,908,1000,0.908,157,0.157,65,0.065,3
4689,4476,213,524,14,5000,898,1000,0.898,163,0.163,61,0.061,3
5575,5286,289,714,15,6000,886,1000,0.886,190,0.19,76,0.076,3
