n_clusters,n_singletons,n_non_singletons,n_seq_non_singletons,i_subsample_step,curr_subsample_step,n_new_clusters,n_new_samples,n_new_clusters_per_sample,n_new_seq_non_singleton,n_new_seq_non_singleton_per_sample,n_new_clusters_non_singleton,n_new_clusters_non_singleton_per_sample,i_subsample
8133,7572,561,1428,18,9000,818,1000,0.818,286,0.286,104,0.104,71
8974,8326,648,1674,19,10000,841,1000,0.841,246,0.246,87,0.087,71
9802,9053,749,1947,20,11000,828,1000,0.828,273,0.273,101,0.101,71
10623,9779,844,2221,21,12000,821,1000,0.821,274,0.274,95,0.095,71
11452,10498,954,2502,22,13000,829,1000,0.829,281,0.281,110,0.11,71
12257,11174,1083,2826,23,14000,805,1000,0.805,324,0.324,129,0.129,71
13058,11861,1197,3139,24,15000,801,1000,0.801,313,0.313,114,0.114,71
13828,12498,1330,3502,25,16000,770,1000,0.77,363,0.363,133,0.133,71
14614,13162,1452,3838,26,17000,786,1000,0.786,336,0.336,122,0.122,71
15402,13832,1570,4168,27,18000,788,1000,0.788,330,0.33,118,0.118,71
16174,14494,1680,4506,28,19000,772,1000,0.772,338,0.338,110,0.11,71
16956,15166,1790,4834,29,20000,782,1000,0.782,328,0.328,110,0.11,71
17692,15769,1923,5231,30,21000,736,1000,0.736,397,0.397,133,0.133,71
18414,16347,2067,5653,31,22000,722,1000,0.722,422,0.422,144,0.144,71
19142,16936,2206,6064,32,23000,728,1000,0.728,411,0.411,139,0.139,71
19875,17538,2337,6462,33,24000,733,1000,0.733,398,0.398,131,0.131,71
20580,18090,2490,6910,34,25000,705,1000,0.705,448,0.448,153,0.153,71
21287,18650,2637,7350,35,26000,707,1000,0.707,440,0.44,147,0.147,71
22007,19232,2775,7768,36,27000,720,1000,0.72,418,0.418,138,0.138,71
22713,19790,2923,8210,37,28000,706,1000,0.706,442,0.442,148,0.148,71
23433,20367,3066,8633,38,29000,720,1000,0.72,423,0.423,143,0.143,71
24124,20905,3219,9095,39,30000,691,1000,0.691,462,0.462,153,0.153,71
24823,21461,3362,9539,40,31000,699,1000,0.699,444,0.444,143,0.143,71
25509,21999,3510,10001,41,32000,686,1000,0.686,462,0.462,148,0.148,71
26183,22501,3682,10499,42,33000,674,1000,0.674,498,0.498,172,0.172,71
26845,23005,3840,10995,43,34000,662,1000,0.662,496,0.496,158,0.158,71
27534,23551,3983,11449,44,35000,689,1000,0.689,454,0.454,143,0.143,71
28195,24059,4136,11941,45,36000,661,1000,0.661,492,0.492,153,0.153,71
28857,24563,4294,12437,46,37000,662,1000,0.662,496,0.496,158,0.158,71
29545,25112,4433,12888,47,38000,688,1000,0.688,451,0.451,139,0.139,71
30202,25606,4596,13394,48,39000,657,1000,0.657,506,0.506,163,0.163,71
30847,26074,4773,13926,49,40000,645,1000,0.645,532,0.532,177,0.177,71
31487,26535,4952,14465,50,41000,640,1000,0.64,539,0.539,179,0.179,71
32120,27005,5115,14995,51,42000,633,1000,0.633,530,0.53,163,0.163,71
32756,27495,5261,15505,52,43000,636,1000,0.636,510,0.51,146,0.146,71
33389,27958,5431,16042,53,44000,633,1000,0.633,537,0.537,170,0.17,71
34001,28398,5603,16602,54,45000,612,1000,0.612,560,0.56,172,0.172,71
34649,28880,5769,17120,55,46000,648,1000,0.648,518,0.518,166,0.166,71
35297,29361,5936,17639,56,47000,648,1000,0.648,519,0.519,167,0.167,71
35931,29843,6088,18157,57,48000,634,1000,0.634,518,0.518,152,0.152,71
36545,30300,6245,18700,58,49000,614,1000,0.614,543,0.543,157,0.157,71
37161,30752,6409,19248,59,50000,616,1000,0.616,548,0.548,164,0.164,71
37801,31239,6562,19761,60,51000,640,1000,0.64,513,0.513,153,0.153,71
38416,31702,6714,20298,61,52000,615,1000,0.615,537,0.537,152,0.152,71
39030,32175,6855,20825,62,53000,614,1000,0.614,527,0.527,141,0.141,71
39647,32630,7017,21370,63,54000,617,1000,0.617,545,0.545,162,0.162,71
40279,33107,7172,21893,64,55000,632,1000,0.632,523,0.523,155,0.155,71
40862,33501,7361,22499,65,56000,583,1000,0.583,606,0.606,189,0.189,71
41473,33960,7513,23040,66,57000,611,1000,0.611,541,0.541,152,0.152,71
42059,34386,7673,23614,67,58000,586,1000,0.586,574,0.574,160,0.16,71
42651,34819,7832,24181,68,59000,592,1000,0.592,567,0.567,159,0.159,71
43241,35240,8001,24760,69,60000,590,1000,0.59,579,0.579,169,0.169,71
43842,35685,8157,25315,70,61000,601,1000,0.601,555,0.555,156,0.156,71
44415,36083,8332,25917,71,62000,573,1000,0.573,602,0.602,175,0.175,71
44997,36508,8489,26492,72,63000,582,1000,0.582,575,0.575,157,0.157,71
45577,36912,8665,27088,73,64000,580,1000,0.58,596,0.596,176,0.176,71
46160,37326,8834,27674,74,65000,583,1000,0.583,586,0.586,169,0.169,71
46747,37764,8983,28236,75,66000,587,1000,0.587,562,0.562,149,0.149,71
47334,38191,9143,28809,76,67000,587,1000,0.587,573,0.573,160,0.16,71
47907,38587,9320,29413,77,68000,573,1000,0.573,604,0.604,177,0.177,71
48450,38948,9502,30052,78,69000,543,1000,0.543,639,0.639,182,0.182,71
49025,39348,9677,30652,79,70000,575,1000,0.575,600,0.6,175,0.175,71
49576,39729,9847,31271,80,71000,551,1000,0.551,619,0.619,170,0.17,71
50109,40081,10028,31919,81,72000,533,1000,0.533,648,0.648,181,0.181,71
50671,40478,10193,32522,82,73000,562,1000,0.562,603,0.603,165,0.165,71
51212,40860,10352,33140,83,74000,541,1000,0.541,618,0.618,159,0.159,71
51773,41268,10505,33732,84,75000,561,1000,0.561,592,0.592,153,0.153,71
52332,41657,10675,34343,85,76000,559,1000,0.559,611,0.611,170,0.17,71
52892,42048,10844,34952,86,77000,560,1000,0.56,609,0.609,169,0.169,71
53436,42410,11026,35590,87,78000,544,1000,0.544,638,0.638,182,0.182,71
53960,42768,11192,36232,88,79000,524,1000,0.524,642,0.642,166,0.166,71
54499,43120,11379,36880,89,80000,539,1000,0.539,648,0.648,187,0.187,71
55042,43502,11540,37498,90,81000,543,1000,0.543,618,0.618,161,0.161,71
55563,43842,11721,38158,91,82000,521,1000,0.521,660,0.66,181,0.181,71
56089,44192,11897,38808,92,83000,526,1000,0.526,650,0.65,176,0.176,71
56629,44553,12076,39447,93,84000,540,1000,0.54,639,0.639,179,0.179,71
57144,44898,12246,40102,94,85000,515,1000,0.515,655,0.655,170,0.17,71
57676,45275,12401,40725,95,86000,532,1000,0.532,623,0.623,155,0.155,71
58191,45612,12579,41388,96,87000,515,1000,0.515,663,0.663,178,0.178,71
58734,45994,12740,42006,97,88000,543,1000,0.543,618,0.618,161,0.161,71
59275,46354,12921,42646,98,89000,541,1000,0.541,640,0.64,181,0.181,71
59791,46713,13078,43287,99,90000,516,1000,0.516,641,0.641,157,0.157,71
60298,47038,13260,43962,100,91000,507,1000,0.507,675,0.675,182,0.182,71
60829,47398,13431,44602,101,92000,531,1000,0.531,640,0.64,171,0.171,71
61359,47756,13603,45244,102,93000,530,1000,0.53,642,0.642,172,0.172,71
61870,48097,13773,45903,103,94000,511,1000,0.511,659,0.659,170,0.17,71
62381,48427,13954,46573,104,95000,511,1000,0.511,670,0.67,181,0.181,71
62867,48736,14131,47264,105,96000,486,1000,0.486,691,0.691,177,0.177,71
63384,49094,14290,47906,106,97000,517,1000,0.517,642,0.642,159,0.159,71
63894,49447,14447,48553,107,98000,510,1000,0.51,647,0.647,157,0.157,71
64393,49759,14634,49241,108,99000,499,1000,0.499,688,0.688,187,0.187,71
64894,50103,14791,49897,109,100000,501,1000,0.501,656,0.656,157,0.157,71
65386,50436,14950,50564,110,101000,492,1000,0.492,667,0.667,159,0.159,71
65886,50772,15114,51228,111,102000,500,1000,0.5,664,0.664,164,0.164,71
66376,51092,15284,51908,112,103000,490,1000,0.49,680,0.68,170,0.17,71
66872,51414,15458,52586,113,104000,496,1000,0.496,678,0.678,174,0.174,71
67349,51714,15635,53286,114,105000,477,1000,0.477,700,0.7,177,0.177,71
67878,52087,15791,53913,115,106000,529,1000,0.529,627,0.627,156,0.156,71
68378,52413,15965,54587,116,107000,500,1000,0.5,674,0.674,174,0.174,71
68875,52753,16122,55247,117,108000,497,1000,0.497,660,0.66,157,0.157,71
69309,52999,16310,56001,118,109000,434,1000,0.434,754,0.754,188,0.188,71
69776,53285,16491,56715,119,110000,467,1000,0.467,714,0.714,181,0.181,71
70278,53614,16664,57386,120,111000,502,1000,0.502,671,0.671,173,0.173,71
70760,53932,16828,58068,121,112000,482,1000,0.482,682,0.682,164,0.164,71
71241,54247,16994,58753,122,113000,481,1000,0.481,685,0.685,166,0.166,71
71732,54557,17175,59443,123,114000,491,1000,0.491,690,0.69,181,0.181,71
71869,54638,17231,59660,124,114298,137,298,0.4597315436241611,217,0.7281879194630873,56,0.18791946308724833,71
100,100,0,0,1,100,NA,NA,NA,NA,NA,NA,NA,72
197,194,3,6,2,200,97,100,0.97,6,0.06,3,0.03,72
295,290,5,10,3,300,98,100,0.98,4,0.04,2,0.02,72
393,387,6,13,4,400,98,100,0.98,3,0.03,1,0.01,72
493,487,6,13,5,500,100,100,1,0,0,0,0,72
592,585,7,15,6,600,99,100,0.99,2,0.02,1,0.01,72
692,685,7,15,7,700,100,100,1,0,0,0,0,72
790,781,9,19,8,800,98,100,0.98,4,0.04,2,0.02,72
887,876,11,24,9,900,97,100,0.97,5,0.05,2,0.02,72
983,968,15,32,10,1000,96,100,0.96,8,0.08,4,0.04,72
1936,1884,52,116,11,2000,953,1000,0.953,84,0.084,37,0.037,72
2876,2780,96,220,12,3000,940,1000,0.94,104,0.104,44,0.044,72
3795,3645,150,355,13,4000,919,1000,0.919,135,0.135,54,0.054,72
4696,4481,215,519,14,5000,901,1000,0.901,164,0.164,65,0.065,72
5577,5284,293,716,15,6000,881,1000,0.881,197,0.197,78,0.078,72
6448,6075,373,925,16,7000,871,1000,0.871,209,0.209,80,0.08,72
7315,6858,457,1142,17,8000,867,1000,0.867,217,0.217,84,0.084,72
8151,7597,554,1403,18,9000,836,1000,0.836,261,0.261,97,0.097,72
8988,8341,647,1659,19,10000,837,1000,0.837,256,0.256,93,0.093,72
9810,9057,753,1943,20,11000,822,1000,0.822,284,0.284,106,0.106,72
10611,9750,861,2250,21,12000,801,1000,0.801,307,0.307,108,0.108,72
11401,10417,984,2583,22,13000,790,1000,0.79,333,0.333,123,0.123,72
12192,11089,1103,2911,23,14000,791,1000,0.791,328,0.328,119,0.119,72
12998,11795,1203,3205,24,15000,806,1000,0.806,294,0.294,100,0.1,72
13782,12458,1324,3542,25,16000,784,1000,0.784,337,0.337,121,0.121,72
14553,13103,1450,3897,26,17000,771,1000,0.771,355,0.355,126,0.126,72
15316,13738,1578,4262,27,18000,763,1000,0.763,365,0.365,128,0.128,72
16051,14331,1720,4669,28,19000,735,1000,0.735,407,0.407,142,0.142,72
16813,14963,1850,5037,29,20000,762,1000,0.762,368,0.368,130,0.13,72
17577,15594,1983,5406,30,21000,764,1000,0.764,369,0.369,133,0.133,72
18328,16225,2103,5775,31,22000,751,1000,0.751,369,0.369,120,0.12,72
19058,16810,2248,6190,32,23000,730,1000,0.73,415,0.415,145,0.145,72
19787,17379,2408,6621,33,24000,729,1000,0.729,431,0.431,160,0.16,72
20510,17971,2539,7029,34,25000,723,1000,0.723,408,0.408,131,0.131,72
21247,18562,2685,7438,35,26000,737,1000,0.737,409,0.409,146,0.146,72
21968,19137,2831,7863,36,27000,721,1000,0.721,425,0.425,146,0.146,72
22674,19694,2980,8306,37,28000,706,1000,0.706,443,0.443,149,0.149,72
23380,20250,3130,8750,38,29000,706,1000,0.706,444,0.444,150,0.15,72
24075,20788,3287,9212,39,30000,695,1000,0.695,462,0.462,157,0.157,72
24777,21348,3429,9652,40,31000,702,1000,0.702,440,0.44,142,0.142,72
25483,21889,3594,10111,41,32000,706,1000,0.706,459,0.459,165,0.165,72
26199,22486,3713,10514,42,33000,716,1000,0.716,403,0.403,119,0.119,72
26889,23027,3862,10973,43,34000,690,1000,0.69,459,0.459,149,0.149,72
27563,23563,4000,11437,44,35000,674,1000,0.674,464,0.464,138,0.138,72
28252,24107,4145,11893,45,36000,689,1000,0.689,456,0.456,145,0.145,72
28912,24606,4306,12394,46,37000,660,1000,0.66,501,0.501,161,0.161,72
29576,25124,4452,12876,47,38000,664,1000,0.664,482,0.482,146,0.146,72
30239,25643,4596,13357,48,39000,663,1000,0.663,481,0.481,144,0.144,72
30905,26157,4748,13843,49,40000,666,1000,0.666,486,0.486,152,0.152,72
31554,26653,4901,14347,50,41000,649,1000,0.649,504,0.504,153,0.153,72
32199,27138,5061,14862,51,42000,645,1000,0.645,515,0.515,160,0.16,72
32865,27649,5216,15351,52,43000,666,1000,0.666,489,0.489,155,0.155,72
33529,28166,5363,15834,53,44000,664,1000,0.664,483,0.483,147,0.147,72
34151,28613,5538,16387,54,45000,622,1000,0.622,553,0.553,175,0.175,72
34789,29101,5688,16899,55,46000,638,1000,0.638,512,0.512,150,0.15,72
35425,29591,5834,17409,56,47000,636,1000,0.636,510,0.51,146,0.146,72
36049,30051,5998,17949,57,48000,624,1000,0.624,540,0.54,164,0.164,72
36669,30509,6160,18491,58,49000,620,1000,0.62,542,0.542,162,0.162,72
37292,30978,6314,19022,59,50000,623,1000,0.623,531,0.531,154,0.154,72
37911,31440,6471,19560,60,51000,619,1000,0.619,538,0.538,157,0.157,72
38530,31882,6648,20118,61,52000,619,1000,0.619,558,0.558,177,0.177,72
39154,32342,6812,20658,62,53000,624,1000,0.624,540,0.54,164,0.164,72
39718,32728,6990,21272,63,54000,564,1000,0.564,614,0.614,178,0.178,72
40326,33174,7152,21826,64,55000,608,1000,0.608,554,0.554,162,0.162,72
40918,33586,7332,22414,65,56000,592,1000,0.592,588,0.588,180,0.18,72
41504,34002,7502,22998,66,57000,586,1000,0.586,584,0.584,170,0.17,72
42078,34392,7686,23608,67,58000,574,1000,0.574,610,0.61,184,0.184,72
42672,34837,7835,24163,68,59000,594,1000,0.594,555,0.555,149,0.149,72
43279,35297,7982,24703,69,60000,607,1000,0.607,540,0.54,147,0.147,72
43892,35745,8147,25255,70,61000,613,1000,0.613,552,0.552,165,0.165,72
44498,36177,8321,25823,71,62000,606,1000,0.606,568,0.568,174,0.174,72
45086,36605,8481,26395,72,63000,588,1000,0.588,572,0.572,160,0.16,72
45644,37000,8644,27000,73,64000,558,1000,0.558,605,0.605,163,0.163,72
46246,37445,8801,27555,74,65000,602,1000,0.602,555,0.555,157,0.157,72
46835,37868,8967,28132,75,66000,589,1000,0.589,577,0.577,166,0.166,72
47419,38278,9141,28722,76,67000,584,1000,0.584,590,0.59,174,0.174,72
47982,38661,9321,29339,77,68000,563,1000,0.563,617,0.617,180,0.18,72
48581,39110,9471,29890,78,69000,599,1000,0.599,551,0.551,150,0.15,72
49134,39495,9639,30505,79,70000,553,1000,0.553,615,0.615,168,0.168,72
49670,39850,9820,31150,80,71000,536,1000,0.536,645,0.645,181,0.181,72
50238,40267,9971,31733,81,72000,568,1000,0.568,583,0.583,151,0.151,72
50794,40659,10135,32341,82,73000,556,1000,0.556,608,0.608,164,0.164,72
51350,41037,10313,32963,83,74000,556,1000,0.556,622,0.622,178,0.178,72
51921,41462,10459,33538,84,75000,571,1000,0.571,575,0.575,146,0.146,72
52480,41850,10630,34150,85,76000,559,1000,0.559,612,0.612,171,0.171,72
53022,42235,10787,34765,86,77000,542,1000,0.542,615,0.615,157,0.157,72
53572,42610,10962,35390,87,78000,550,1000,0.55,625,0.625,175,0.175,72
54092,42947,11145,36053,88,79000,520,1000,0.52,663,0.663,183,0.183,72
54622,43298,11324,36702,89,80000,530,1000,0.53,649,0.649,179,0.179,72
55181,43693,11488,37307,90,81000,559,1000,0.559,605,0.605,164,0.164,72
55717,44055,11662,37945,91,82000,536,1000,0.536,638,0.638,174,0.174,72
56277,44469,11808,38531,92,83000,560,1000,0.56,586,0.586,146,0.146,72
56799,44805,11994,39195,93,84000,522,1000,0.522,664,0.664,186,0.186,72
57302,45131,12171,39869,94,85000,503,1000,0.503,674,0.674,177,0.177,72
57833,45511,12322,40489,95,86000,531,1000,0.531,620,0.62,151,0.151,72
58334,45829,12505,41171,96,87000,501,1000,0.501,682,0.682,183,0.183,72
58852,46192,12660,41808,97,88000,518,1000,0.518,637,0.637,155,0.155,72
59363,46541,12822,42459,98,89000,511,1000,0.511,651,0.651,162,0.162,72
59894,46896,12998,43104,99,90000,531,1000,0.531,645,0.645,176,0.176,72
60398,47229,13169,43771,100,91000,504,1000,0.504,667,0.667,171,0.171,72
60915,47579,13336,44421,101,92000,517,1000,0.517,650,0.65,167,0.167,72
61426,47902,13524,45098,102,93000,511,1000,0.511,677,0.677,188,0.188,72
61929,48222,13707,45778,103,94000,503,1000,0.503,680,0.68,183,0.183,72
62464,48612,13852,46388,104,95000,535,1000,0.535,610,0.61,145,0.145,72
62968,48946,14022,47054,105,96000,504,1000,0.504,666,0.666,170,0.17,72
63448,49253,14195,47747,106,97000,480,1000,0.48,693,0.693,173,0.173,72
63986,49621,14365,48379,107,98000,538,1000,0.538,632,0.632,170,0.17,72
64504,49970,14534,49030,108,99000,518,1000,0.518,651,0.651,169,0.169,72
64983,50258,14725,49742,109,100000,479,1000,0.479,712,0.712,191,0.191,72
65449,50539,14910,50461,110,101000,466,1000,0.466,719,0.719,185,0.185,72
65944,50862,15082,51138,111,102000,495,1000,0.495,677,0.677,172,0.172,72
66432,51172,15260,51828,112,103000,488,1000,0.488,690,0.69,178,0.178,72
66910,51474,15436,52526,113,104000,478,1000,0.478,698,0.698,176,0.176,72
67404,51796,15608,53204,114,105000,494,1000,0.494,678,0.678,172,0.172,72
67902,52120,15782,53880,115,106000,498,1000,0.498,676,0.676,174,0.174,72
68372,52410,15962,54590,116,107000,470,1000,0.47,710,0.71,180,0.18,72
68852,52724,16128,55276,117,108000,480,1000,0.48,686,0.686,166,0.166,72
69346,53064,16282,55936,118,109000,494,1000,0.494,660,0.66,154,0.154,72
69829,53364,16465,56636,119,110000,483,1000,0.483,700,0.7,183,0.183,72
70285,53626,16659,57374,120,111000,456,1000,0.456,738,0.738,194,0.194,72
70778,53940,16838,58060,121,112000,493,1000,0.493,686,0.686,179,0.179,72
71240,54233,17007,58767,122,113000,462,1000,0.462,707,0.707,169,0.169,72
71709,54514,17195,59486,123,114000,469,1000,0.469,719,0.719,188,0.188,72
71869,54638,17231,59660,124,114298,160,298,0.5369127516778524,174,0.5838926174496645,36,0.12080536912751678,72
100,100,0,0,1,100,NA,NA,NA,NA,NA,NA,NA,73
200,200,0,0,2,200,100,100,1,0,0,0,0,73
299,298,1,2,3,300,99,100,0.99,2,0.02,1,0.01,73
398,396,2,4,4,400,99,100,0.99,2,0.02,1,0.01,73
498,496,2,4,5,500,100,100,1,0,0,0,0,73
598,596,2,4,6,600,100,100,1,0,0,0,0,73
697,694,3,6,7,700,99,100,0.99,2,0.02,1,0.01,73
794,788,6,12,8,800,97,100,0.97,6,0.06,3,0.03,73
894,888,6,12,9,900,100,100,1,0,0,0,0,73
989,979,10,21,10,1000,95,100,0.95,9,0.09,4,0.04,73
1935,1882,53,118,11,2000,946,1000,0.946,97,0.097,43,0.043,73
2871,2763,108,237,12,3000,936,1000,0.936,119,0.119,55,0.055,73
3800,3642,158,358,13,4000,929,1000,0.929,121,0.121,50,0.05,73
4686,4449,237,551,14,5000,886,1000,0.886,193,0.193,79,0.079,73
5576,5271,305,729,15,6000,890,1000,0.89,178,0.178,68,0.068,73
6450,6059,391,941,16,7000,874,1000,0.874,212,0.212,86,0.086,73
7311,6837,474,1163,17,8000,861,1000,0.861,222,0.222,83,0.083,73
8169,7613,556,1387,18,9000,858,1000,0.858,224,0.224,82,0.082,73
8981,8320,661,1680,19,10000,812,1000,0.812,293,0.293,105,0.105,73
9796,9031,765,1969,20,11000,815,1000,0.815,289,0.289,104,0.104,73
10611,9746,865,2254,21,12000,815,1000,0.815,285,0.285,100,0.1,73
11423,10456,967,2544,22,13000,812,1000,0.812,290,0.29,102,0.102,73
12220,11142,1078,2858,23,14000,797,1000,0.797,314,0.314,111,0.111,73
13034,11851,1183,3149,24,15000,814,1000,0.814,291,0.291,105,0.105,73
13807,12495,1312,3505,25,16000,773,1000,0.773,356,0.356,129,0.129,73
14586,13151,1435,3849,26,17000,779,1000,0.779,344,0.344,123,0.123,73
15374,13836,1538,4164,27,18000,788,1000,0.788,315,0.315,103,0.103,73
16127,14455,1672,4545,28,19000,753,1000,0.753,381,0.381,134,0.134,73
16882,15079,1803,4921,29,20000,755,1000,0.755,376,0.376,131,0.131,73
17609,15675,1934,5325,30,21000,727,1000,0.727,404,0.404,131,0.131,73
18367,16293,2074,5707,31,22000,758,1000,0.758,382,0.382,140,0.14,73
19120,16922,2198,6078,32,23000,753,1000,0.753,371,0.371,124,0.124,73
19830,17471,2359,6529,33,24000,710,1000,0.71,451,0.451,161,0.161,73
20570,18077,2493,6923,34,25000,740,1000,0.74,394,0.394,134,0.134,73
21276,18628,2648,7372,35,26000,706,1000,0.706,449,0.449,155,0.155,73
22009,19232,2777,7768,36,27000,733,1000,0.733,396,0.396,129,0.129,73
22720,19809,2911,8191,37,28000,711,1000,0.711,423,0.423,134,0.134,73
23416,20355,3061,8645,38,29000,696,1000,0.696,454,0.454,150,0.15,73
24145,20953,3192,9047,39,30000,729,1000,0.729,402,0.402,131,0.131,73
24847,21511,3336,9489,40,31000,702,1000,0.702,442,0.442,144,0.144,73
25540,22052,3488,9948,41,32000,693,1000,0.693,459,0.459,152,0.152,73
26222,22583,3639,10417,42,33000,682,1000,0.682,469,0.469,151,0.151,73
26915,23129,3786,10871,43,34000,693,1000,0.693,454,0.454,147,0.147,73
27586,23648,3938,11352,44,35000,671,1000,0.671,481,0.481,152,0.152,73
28259,24167,4092,11833,45,36000,673,1000,0.673,481,0.481,154,0.154,73
28931,24678,4253,12322,46,37000,672,1000,0.672,489,0.489,161,0.161,73
29579,25161,4418,12839,47,38000,648,1000,0.648,517,0.517,165,0.165,73
30255,25695,4560,13305,48,39000,676,1000,0.676,466,0.466,142,0.142,73
30901,26184,4717,13816,49,40000,646,1000,0.646,511,0.511,157,0.157,73
31536,26663,4873,14337,50,41000,635,1000,0.635,521,0.521,156,0.156,73
32176,27138,5038,14862,51,42000,640,1000,0.64,525,0.525,165,0.165,73
32823,27620,5203,15380,52,43000,647,1000,0.647,518,0.518,165,0.165,73
33464,28089,5375,15911,53,44000,641,1000,0.641,531,0.531,172,0.172,73
34098,28571,5527,16429,54,45000,634,1000,0.634,518,0.518,152,0.152,73
34718,29008,5710,16992,55,46000,620,1000,0.62,563,0.563,183,0.183,73
35338,29464,5874,17536,56,47000,620,1000,0.62,544,0.544,164,0.164,73
35977,29937,6040,18063,57,48000,639,1000,0.639,527,0.527,166,0.166,73
36613,30426,6187,18574,58,49000,636,1000,0.636,511,0.511,147,0.147,73
37217,30858,6359,19142,59,50000,604,1000,0.604,568,0.568,172,0.172,73
37850,31354,6496,19646,60,51000,633,1000,0.633,504,0.504,137,0.137,73
38438,31761,6677,20239,61,52000,588,1000,0.588,593,0.593,181,0.181,73
39048,32220,6828,20780,62,53000,610,1000,0.61,541,0.541,151,0.151,73
39667,32676,6991,21324,63,54000,619,1000,0.619,544,0.544,163,0.163,73
40278,33135,7143,21865,64,55000,611,1000,0.611,541,0.541,152,0.152,73
40866,33542,7324,22458,65,56000,588,1000,0.588,593,0.593,181,0.181,73
41462,33966,7496,23034,66,57000,596,1000,0.596,576,0.576,172,0.172,73
42058,34395,7663,23605,67,58000,596,1000,0.596,571,0.571,167,0.167,73
42663,34842,7821,24158,68,59000,605,1000,0.605,553,0.553,158,0.158,73
43246,35258,7988,24742,69,60000,583,1000,0.583,584,0.584,167,0.167,73
43840,35685,8155,25315,70,61000,594,1000,0.594,573,0.573,167,0.167,73
44432,36110,8322,25890,71,62000,592,1000,0.592,575,0.575,167,0.167,73
44992,36492,8500,26508,72,63000,560,1000,0.56,618,0.618,178,0.178,73
45582,36921,8661,27079,73,64000,590,1000,0.59,571,0.571,161,0.161,73
46141,37314,8827,27686,74,65000,559,1000,0.559,607,0.607,166,0.166,73
46700,37694,9006,28306,75,66000,559,1000,0.559,620,0.62,179,0.179,73
47264,38093,9171,28907,76,67000,564,1000,0.564,601,0.601,165,0.165,73
47805,38452,9353,29548,77,68000,541,1000,0.541,641,0.641,182,0.182,73
48372,38851,9521,30149,78,69000,567,1000,0.567,601,0.601,168,0.168,73
48953,39275,9678,30725,79,70000,581,1000,0.581,576,0.576,157,0.157,73
49503,39646,9857,31354,80,71000,550,1000,0.55,629,0.629,179,0.179,73
50033,40003,10030,31997,81,72000,530,1000,0.53,643,0.643,173,0.173,73
50584,40386,10198,32614,82,73000,551,1000,0.551,617,0.617,168,0.168,73
51148,40789,10359,33211,83,74000,564,1000,0.564,597,0.597,161,0.161,73
51676,41116,10560,33884,84,75000,528,1000,0.528,673,0.673,201,0.201,73
52210,41475,10735,34525,85,76000,534,1000,0.534,641,0.641,175,0.175,73
52744,41830,10914,35170,86,77000,534,1000,0.534,645,0.645,179,0.179,73
53300,42222,11078,35778,87,78000,556,1000,0.556,608,0.608,164,0.164,73
53846,42607,11239,36393,88,79000,546,1000,0.546,615,0.615,161,0.161,73
54387,42974,11413,37026,89,80000,541,1000,0.541,633,0.633,174,0.174,73
54922,43336,11586,37664,90,81000,535,1000,0.535,638,0.638,173,0.173,73
55470,43718,11752,38282,91,82000,548,1000,0.548,618,0.618,166,0.166,73
55999,44093,11906,38907,92,83000,529,1000,0.529,625,0.625,154,0.154,73
56549,44482,12067,39518,93,84000,550,1000,0.55,611,0.611,161,0.161,73
57085,44845,12240,40155,94,85000,536,1000,0.536,637,0.637,173,0.173,73
57607,45187,12420,40813,95,86000,522,1000,0.522,658,0.658,180,0.18,73
58128,45551,12577,41449,96,87000,521,1000,0.521,636,0.636,157,0.157,73
58679,45933,12746,42067,97,88000,551,1000,0.551,618,0.618,169,0.169,73
59202,46293,12909,42707,98,89000,523,1000,0.523,640,0.64,163,0.163,73
59726,46633,13093,43367,99,90000,524,1000,0.524,660,0.66,184,0.184,73
60229,46940,13289,44060,100,91000,503,1000,0.503,693,0.693,196,0.196,73
60736,47282,13454,44718,101,92000,507,1000,0.507,658,0.658,165,0.165,73
61229,47585,13644,45415,102,93000,493,1000,0.493,697,0.697,190,0.19,73
61765,47965,13800,46035,103,94000,536,1000,0.536,620,0.62,156,0.156,73
62251,48277,13974,46723,104,95000,486,1000,0.486,688,0.688,174,0.174,73
62768,48606,14162,47394,105,96000,517,1000,0.517,671,0.671,188,0.188,73
63255,48921,14334,48079,106,97000,487,1000,0.487,685,0.685,172,0.172,73
63767,49257,14510,48743,107,98000,512,1000,0.512,664,0.664,176,0.176,73
64266,49595,14671,49405,108,99000,499,1000,0.499,662,0.662,161,0.161,73
64787,49940,14847,50060,109,100000,521,1000,0.521,655,0.655,176,0.176,73
65288,50270,15018,50730,110,101000,501,1000,0.501,670,0.67,171,0.171,73
65796,50615,15181,51385,111,102000,508,1000,0.508,655,0.655,163,0.163,73
66327,50989,15338,52011,112,103000,531,1000,0.531,626,0.626,157,0.157,73
66818,51316,15502,52684,113,104000,491,1000,0.491,673,0.673,164,0.164,73
67362,51688,15674,53312,114,105000,544,1000,0.544,628,0.628,172,0.172,73
67871,52019,15852,53981,115,106000,509,1000,0.509,669,0.669,178,0.178,73
68351,52313,16038,54687,116,107000,480,1000,0.48,706,0.706,186,0.186,73
68838,52637,16201,55363,117,108000,487,1000,0.487,676,0.676,163,0.163,73
69355,53004,16351,55996,118,109000,517,1000,0.517,633,0.633,150,0.15,73
69840,53315,16525,56685,119,110000,485,1000,0.485,689,0.689,174,0.174,73
