days,central_mean_max_dist_null,lower_mean_max_dist_null,upper_mean_max_dist_null,central_prop_outside_zip_null,lower_prop_outside_zip_null,upper_prop_outside_zip_null,central_prop_outside_county_null,lower_prop_outside_county_null,upper_prop_outside_county_null
42,171.78755471370653,169.98009482975837,173.72045666561522,0.9602294455066922,0.9588460031086581,0.961613833124463,0.7901394759811715,0.7851658531947621,0.7950690191958971
43,172.258357425832,170.51544225077248,174.18203929439903,0.9622958968512949,0.9609113523950267,0.9636805893626457,0.7918498095455306,0.7868571868373786,0.7971222230960102
44,172.69838492459294,170.98521056380008,174.57052518717165,0.964359464627151,0.962976701681395,0.965707418249439,0.7934993896140483,0.7886964418023654,0.7989465172269896
45,173.02470160965416,171.35580359150407,174.90081709949388,0.965736137667304,0.9643536012056406,0.967085245194774,0.7946023809187392,0.7897743263853592,0.8001345191093939
46,173.37333816583646,171.66814526952783,175.22380426278255,0.9668808319922588,0.9655010174758454,0.9682334343158866,0.795825842652633,0.7908186016140151,0.8012811958467505
47,173.6646658897789,171.95297083805247,175.53925043233127,0.9682600382409178,0.9668385271860137,0.9696512184951733,0.7969684029104523,0.7920713940671138,0.8023627950844288
48,173.9774096223956,172.30677876457997,175.910455592039,0.9697896749521988,0.9683683804387182,0.9711821490419753,0.7983472393940354,0.7933979103104604,0.8037442296963564
49,174.33713750795394,172.68853454264277,176.26191122734218,0.9713957934990439,0.969949303086262,0.9727896261161173,0.7997265902352861,0.7946634956572269,0.8052540888344044
50,174.70216591741806,172.9867592790092,176.6402368492985,0.9732293099244587,0.9717844601496964,0.9746267427722798,0.8012403577656735,0.7961748130607454,0.8068817595280469
51,175.05437143450172,173.30181505285293,176.95077381319368,0.974835551328991,0.9733852880673479,0.9762342198464218,0.8025511513516452,0.7976156013131566,0.8082425327883053
52,175.34512931586994,173.60126864698515,177.1849753652455,0.9762077799720491,0.9747228739729716,0.9775720391676019,0.8036003744304414,0.7987918198059853,0.8094379070736584
53,175.49659754403115,173.79264902432155,177.37614859614902,0.9768180252902794,0.9753346795294411,0.9781844066988619,0.8041965929935831,0.7992573475432375,0.8100614797414034
54,175.71513556036723,173.97209611978195,177.55549145540695,0.9778126314659441,0.9762923533809378,0.9791795039371594,0.8048947509058522,0.8000823521771345,0.8108784048703312
55,175.95193054936715,174.1950834566581,177.75577093252866,0.9788072376416086,0.9772865450133501,0.9801382389309496,0.8057797324452778,0.8008067076792147,0.8116750922027121
56,176.18746294173533,174.41646031681387,178.04088027618724,0.9799548601519907,0.9784336892045951,0.981246244355162,0.8067223854881171,0.8016641819391302,0.8127909874692713
57,176.42064611187476,174.63376923168784,178.22215980846323,0.9808729581602966,0.9793514045575911,0.9821283024516093,0.8076007913898001,0.8024977116447941,0.8135876748016521
58,176.6323460811471,174.82462700325112,178.39612965814635,0.9817117489576966,0.9802291239811962,0.9828956373062558,0.8084071647970585,0.8032488638324575,0.8143808475759494
